id,popularity,budget,revenue,original_title,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,Action|Adventure|Science Fiction,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177
273248,5.8984,44000000,155760117,The Hateful Eight,Crime|Drama|Mystery|Western,2015-12-25,2389,7.4,2015,40479982.18880779,143299244.588332
260346,5.749758,48000000,325771424,Taken 3,Crime|Action|Thriller,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785
102899,5.5731839999999995,130000000,518602163,Ant-Man,Science Fiction|Action|Adventure,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936
150689,5.556818,95000000,542351353,Cinderella,Romance|Fantasy|Family|Drama,2015-03-12,1495,6.8,2015,87399961.54401691,498963025.21626794
131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,War|Adventure|Science Fiction,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232
158852,5.4621379999999995,190000000,209035668,Tomorrowland,Action|Family|Science Fiction|Adventure|Mystery,2015-05-19,1899,6.2,2015,174799923.08803302,192312729.942398
307081,5.337064,30000000,91709827,Southpaw,Action|Drama,2015-06-15,1386,7.3,2015,27599987.856005296,84373003.7158783
254128,4.907832,110000000,470490832,San Andreas,Action|Drama|Thriller,2015-05-27,2060,6.1,2015,101199955.47201899,432851374.985395
216015,4.71040199999999,40000000,569651467,Fifty Shades of Grey,Drama|Romance,2015-02-11,1865,5.3,2015,36799983.808007106,524079119.045187
318846,4.648046,28000000,133346506,The Big Short,Comedy|Drama,2015-12-11,1545,7.3,2015,25759988.665604897,122678731.54135801
177677,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Action,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881
214756,4.5645489999999995,68000000,215863606,Ted 2,Comedy,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845
207703,4.503789,81000000,403802136,Kingsman: The Secret Service,Crime|Comedy|Action|Adventure,2015-01-24,3833,7.6,2015,74519967.21121441,371497801.660967
314365,4.062293,20000000,88346473,Spotlight,Drama|Thriller|History,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.39736341
294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Action|Science Fiction|Thriller,2015-09-09,1849,6.4,2015,56119975.30721079,286356245.923251
280996,3.927333,0,29355203,Mr. Holmes,Mystery|Drama,2015-06-19,425,6.4,2015,0.0,27006774.877019
198184,3.899557,49000000,102069268,Chappie,Crime|Action|Science Fiction,2015-03-04,1990,6.6,2015,45079980.164808705,93903685.2423785
254470,3.877764,29000000,287506194,Pitch Perfect 2,Comedy|Music,2015-05-07,1264,6.8,2015,26679988.260805104,264505582.09754303
296098,3.6482099999999997,40000000,162610473,Bridge of Spies,Thriller|Drama,2015-10-15,1638,7.1,2015,36799983.808007106,149601569.335309
257445,3.6445410000000003,58000000,150170815,Goosebumps,Adventure|Horror|Comedy,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088
264644,3.557846,6000000,35401758,Room,Drama|Thriller,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.029374603
339527,3.358321,0,22354572,Solace,Crime|Drama|Mystery,2015-09-03,474,6.2,2015,0.0,20566197.1908732
105864,3.3391349999999997,175000000,331926147,The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,2015-11-14,1087,6.6,2015,160999929.16003102,305371920.876354
241554,3.23737,50000000,71561644,Run All Night,Action|Crime|Drama|Mystery|Thriller,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592
167073,3.227329,11000000,62076141,Brooklyn,Drama|Romance,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891
277216,3.2027189999999996,28000000,201634991,Straight Outta Compton,Drama|Music,2015-08-13,918,7.7,2015,25759988.665604897,185504110.098191
274854,3.080505,90000000,140396650,The Last Witch Hunter,Fantasy|Action|Adventure,2015-10-21,879,5.6,2015,82799963.56801601,129164861.16746101
321697,3.0795220000000003,30000000,34441873,Steve Jobs,History|Drama,2015-10-09,1035,6.9,2015,27599987.856005296,31686509.2179359
203801,3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Comedy|Action|Adventure,2015-08-13,1548,7.0,2015,68999969.64001329,99493456.50287908
293863,3.025852,25000000,42629776,The Age of Adaline,Fantasy|Drama|Romance,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742
325348,3.023253,10000000,14333790,Hardcore Henry,Action|Adventure|Science Fiction,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843
228161,2.976436,135000000,368871007,Home,Fantasy|Comedy|Animation|Science Fiction|Family,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082
286565,2.968254,12000000,85512300,Paper Towns,Drama|Mystery|Romance,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.38463621
265208,2.93234,30000000,0,Wild Card,Thriller|Crime|Drama,2015-01-14,481,5.3,2015,27599987.856005296,0.0
254320,2.8851259999999996,4000000,9064511,The Lobster,Thriller|Comedy|Drama|Romance|Science Fiction,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756
258480,2.883233,11800000,40272135,Carol,Romance|Drama,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469
257211,2.8148020000000002,35000000,194564672,The Intern,Comedy,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255
253412,2.7980169999999998,55000000,203427584,Everest,Adventure|Drama,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255
274479,2.793297,60000000,101134059,Joy,Comedy|Drama,2015-12-24,1001,6.4,2015,55199975.71201059,93043293.3409509
257088,2.6144990000000004,105000000,133718711,Point Break,Action|Crime|Thriller,2015-12-03,505,5.5,2015,96599957.49601871,123021159.990689
295964,2.584264,20000000,36606743,Burnt,Drama,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969
238615,2.578919,26000000,30523226,Self/less,Science Fiction|Mystery|Thriller,2015-07-10,719,6.2,2015,23919989.475204602,28081355.564203497
210860,2.575711,60000000,30418560,Mortdecai,Comedy|Adventure,2015-01-21,696,5.3,2015,55199975.71201059,27985062.8865723
306819,2.557859,15000000,64191523,The Danish Girl,Drama,2015-11-27,867,7.3,2015,13799993.9280026,59056175.175282896
201088,2.5507470000000003,70000000,17752940,Blackhat,Mystery|Crime|Action|Thriller|Drama,2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613
273481,2.487849,30000000,84025816,Sicario,Action|Crime|Drama|Mystery|Thriller,2015-09-17,1479,7.1,2015,27599987.856005296,77303716.7063646
166424,2.4870419999999998,120000001,167977596,Fantastic Four,Action|Adventure|Science Fiction,2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699
310131,2.46449,3500000,40423945,The Witch,Mystery|Horror,2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942
238713,2.404473,65000000,235666219,Spy,Action|Comedy|Crime,2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356
256591,2.395366,50100000,153962963,Focus,Romance|Comedy|Crime|Drama,2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582
249070,2.354654,35000000,82347656,Hitman: Agent 47,Action|Crime|Thriller,2015-08-20,820,5.5,2015,32199985.8320062,75759810.18568349
205775,2.345821,100000000,93820758,In the Heart of the Sea,Thriller|Drama|Adventure|Action|History,2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738
334074,2.331636,20000000,0,Survivor,Crime|Thriller|Action,2015-05-21,280,5.4,2015,18399991.9040035,0.0
312221,2.3315669999999997,35000000,137935567,Creed,Drama,2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707
271718,2.31767,35000000,140795793,Trainwreck,Comedy,2015-07-17,849,6.1,2015,32199985.8320062,129532072.56588799
333352,2.29573,13000000,32848185,Eye in the Sky,Drama|Thriller|War,2015-09-11,265,7.2,2015,11959994.737602301,30220316.9030605
276907,2.28135,25000000,42972994,Legend,Crime|Thriller,2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396
284289,2.2720439999999997,0,45895,Beyond the Reach,Thriller,2015-04-17,81,5.5,2015,0.0,42223.381421712096
266647,2.234573,150000000,128388320,Pan,Adventure|Family|Fantasy,2015-09-24,586,5.9,2015,137999939.280026,118117202.42843
347096,2.165433,0,0,Mythica: The Darkspore,Action|Adventure|Fantasy,2015-06-24,27,5.1,2015,0.0,0.0
308369,2.141506,0,0,Me and Earl and the Dying Girl,Comedy|Drama,2015-06-12,569,7.7,2015,0.0,0.0
227973,2.140199,99000000,246233113,The Peanuts Movie,Adventure|Animation|Comedy|Family,2015-11-05,414,6.4,2015,91079959.92481759,226534364.284879
321741,2.121884,35000000,48623572,Concussion,Drama,2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867
296100,2.096273,25000000,52395996,The Night Before,Comedy,2015-11-20,363,6.1,2015,22999989.8800044,48204295.110110104
263472,2.0809349999999998,2500000,5214043,Knock Knock,Drama|Horror|Thriller,2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632
228205,2.070708,34000000,63013281,The Longest Ride,Romance|Drama,2015-04-09,711,7.3,2015,31279986.236806,57972193.012235
159824,2.060162,80000000,466183544,Hotel Transylvania 2,Animation|Comedy|Family,2015-09-21,919,6.8,2015,73599967.61601421,428888671.76898396
333348,2.055572,17000000,24000000,Love the Coopers,Family|Comedy,2015-11-12,111,5.3,2015,15639993.118403,22079990.2848042
285783,2.049886,35000000,61181942,The Walk,Adventure|Drama|Thriller,2015-09-30,706,6.8,2015,32199985.8320062,56287361.873560704
290764,2.0266509999999998,11000000,1863315,Tracers,Action|Crime|Drama,2015-01-15,326,5.9,2015,10119995.5472019,1714249.04573042
296099,2.000338,31000000,104384188,Vacation,Adventure|Comedy,2015-07-28,846,6.1,2015,28519987.4512055,96033410.70529921
243688,1.984529,35000000,95437994,Poltergeist,Horror|Thriller,2015-05-20,589,5.0,2015,32199985.8320062,87802915.846717
287424,1.9800389999999999,4000000,187112,Maggie,Horror,2015-05-08,384,5.1,2015,3679998.38080071,172142.964257095
301875,1.9597650000000002,0,2000000,Equals,Drama|Romance|Science Fiction,2015-09-04,135,5.6,2015,0.0,1839999.19040035
181283,1.95632,50000000,3324330,Child 44,Crime|Thriller,2015-03-15,341,5.9,2015,45999979.7600089,3058382.2543117995
328425,1.926739,5000000,58978653,The Gift,Thriller|Mystery,2015-07-30,631,6.6,2015,4599997.97600089,54260336.885451704
274167,1.904898,50000000,240360392,Daddy's Home,Comedy,2015-12-25,568,5.7,2015,45999979.7600089,221131463.342156
370687,1.876037,0,0,Mythica: The Necromancer,Fantasy|Action|Adventure,2015-12-19,11,5.4,2015,0.0,0.0
307663,1.872696,10000000,0,Vice,Thriller|Science Fiction|Action|Adventure,2015-01-16,181,4.1,2015,9199995.95200178,0.0
309809,1.865007,64000000,97571250,The Little Prince,Adventure|Animation|Fantasy,2015-07-29,423,7.5,2015,58879974.0928114,89765510.50317529
258509,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Adventure|Animation|Comedy|Family,2015-12-17,278,5.7,2015,0.0,215055014.135793
298382,1.82313,11930000,18340000,The Dressmaker,Drama,2015-10-01,197,6.9,2015,10975595.1707381,16872792.5759712
272693,1.758618,8500000,43528634,The DUFF,Romance|Comedy,2015-02-20,753,6.8,2015,7819996.55920151,40046325.65961671
283445,1.742286,10000000,52882018,Sinister 2,Horror,2015-08-19,331,5.5,2015,9199995.95200178,48651435.1533685
256961,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Action|Adventure|Comedy|Family,2015-04-16,422,5.3,2015,27599987.856005296,98989419.0846556
326359,1.7247119999999898,0,0,Frozen Fever,Adventure|Animation|Family,2015-03-09,475,7.0,2015,0.0,0.0
254302,1.661789,0,0,High-Rise,Action|Drama|Science Fiction,2015-09-26,161,5.4,2015,0.0,0.0
241251,1.6510779999999898,4000000,50163103,The Boy Next Door,Thriller,2015-01-23,810,3.9,2015,3679998.38080071,46150034.4539848
292040,1.646664,0,0,Spooks: The Greater Good,Thriller|Action,2015-04-11,114,5.6,2015,0.0,0.0
188222,1.532997,30000000,49263404,Entourage,Comedy,2015-06-03,364,6.2,2015,27599987.856005296,45322311.73818279
252838,1.5100959999999999,23000000,79799880,The Wedding Ringer,Comedy,2015-01-16,446,6.5,2015,21159990.689604,73415857.2970227
273477,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Comedy|Horror,2015-10-23,288,6.2,2015,13799993.9280026,13671898.704364501
298312,1.495112,5000000,98450062,The Visit,Horror|Thriller,2015-09-10,729,5.9,2015,4599997.97600089,90574017.18743241
261023,1.4832459999999899,53000000,99775678,Black Mass,Crime|Drama,2015-09-04,848,6.3,2015,48759978.5456094,91793583.3708233
